# WordDrop daily answers — one per line: WORD<TAB>CATEGORY<TAB>CLUE
# Every word is film-related. Clues are spoiler-free nudges, never definitions
# that give the letters away. Lines starting with # are ignored.
# Curated by hand; top the list up before it cycles (see docs/word-list.md).
ACTOR	Cast	The person the camera is pointed at
CAMEO	Cast	A famous face, on screen for a moment
EXTRA	Cast	Background performer, no lines
LEAD	Cast	Top of the call sheet
STAR	Cast	Name above the title
STUNT	Cast	The dangerous bit, done by a specialist
DOUBLE	Cast	Stands in when the lead cannot
CASTING	Cast	The search for the right face
SCENE	Craft	One continuous piece of the story
TAKE	Craft	Try it again, from the top
SHOT	Craft	What the camera records in one go
ANGLE	Craft	Where the camera is looking from
FRAME	Craft	One still image of many per second
FOCUS	Craft	Where the lens is sharp
ZOOM	Craft	The lens moves in without the camera
TILT	Craft	The camera looks up or down
DOLLY	Craft	Wheeled platform for a moving shot
CRANE	Craft	Lifts the camera high above the set
TRACK	Craft	Rails the camera rolls along
LENS	Craft	Glass that decides how it looks
FILTER	Craft	Glass that changes the light
GRAIN	Craft	The texture film stock leaves behind
DEPTH	Craft	How much stays in focus behind the subject
CLOSEUP	Craft	Fills the frame with a face
MASTER	Craft	The wide take that covers the whole scene
INSERT	Craft	A quick detail shot cut in later
MONTAGE	Craft	Time passes in a hurry
SPLICE	Craft	Joining two pieces of film
EDITOR	Crew	Decides what the audience never sees
GAFFER	Crew	In charge of the lights
GRIP	Crew	Moves everything the camera sits on
BOOM	Crew	Microphone on a long pole
FOLEY	Crew	Footsteps recorded after the fact
MIXER	Crew	Balances the soundtrack
SCORE	Crew	Music written for the picture
SCRIPT	Writing	The words before the pictures
DRAFT	Writing	One version of many
PLOT	Writing	What happens, in order
TWIST	Writing	The turn nobody saw coming
TROPE	Writing	A device the audience already knows
MOTIF	Writing	An image that keeps returning
THEME	Writing	What the film is really about
LOGLINE	Writing	The whole film in one sentence
OUTLINE	Writing	The shape before the dialogue
DIALOG	Writing	Characters, talking
VOICE	Writing	Heard, not seen
SEQUEL	Release	What happens next, a year later
PREQUEL	Release	What happened before, made after
REBOOT	Release	Start the whole thing again
REMAKE	Release	Someone made it better, or worse
SERIES	Release	It keeps going
TRILOGY	Release	Three, and they meant it
DEBUT	Release	The first one
TRAILER	Release	Two minutes to sell you the rest
TEASER	Release	Even shorter than that
POSTER	Release	The film, on a wall
CREDITS	Release	The names, at the end
TITLE	Release	What it is called
RATING	Release	Who is allowed in
SCREEN	Cinema	Where the picture lands
STAGE	Cinema	Boards to be trodden
MATINEE	Cinema	The early showing
USHER	Cinema	Shows you to your seat
TICKET	Cinema	Your way in
POPCORN	Cinema	The smell of the lobby
LOBBY	Cinema	Before the doors open
AISLE	Cinema	The walk to your row
BALCONY	Cinema	The expensive seats, once
PROJECT	Cinema	Throw the picture at the wall
REEL	Cinema	What the film was wound on
SPOOL	Cinema	Takes the film up as it runs
DRAMA	Genre	Serious people, serious trouble
COMEDY	Genre	Meant to make you laugh
HORROR	Genre	Meant to make you look away
ACTION	Genre	Things move fast and explode
ROMANCE	Genre	Two people, eventually
WESTERN	Genre	Horses, dust and a long stare
NOIR	Genre	Rain, shadows and bad decisions
EPIC	Genre	Very long, very large
MUSICAL	Genre	They sing about it
FANTASY	Genre	Magic is allowed
SLASHER	Genre	The horror one with a body count
SATIRE	Genre	Mocking something on purpose
PARODY	Genre	Mocking another film on purpose
CAPER	Genre	A charming crime
HEIST	Genre	The plan, the vault, the getaway
SPOOF	Genre	A joke at a genre's expense
BUDDY	Genre	Two mismatched partners
ANIME	Genre	Animation with a Japanese accent
SHORT	Format	Under forty minutes
FEATURE	Format	The main event
SILENT	Format	Cards instead of dialogue
TALKIE	Format	When films learned to speak
MONO	Format	One channel of sound
STEREO	Format	Two channels of sound
WIDE	Format	A frame far broader than it is tall
SCOPE	Format	The very wide one
IMAX	Format	The very large one
PIXEL	Format	The smallest part of the picture
CODEC	Format	How the picture is squeezed
STREAM	Format	No disc required
OSCAR	Award	The gold one, in February
PALME	Award	The Cannes prize, a golden leaf
BAFTA	Award	The British academy's choice
NOMINEE	Award	Named, but not yet called
WINNER	Award	Called
GALA	Award	The dressed-up evening
PRIZE	Award	What the jury hands over
JURY	Award	Decides who takes it home
STUDIO	Business	Where the money comes from
BUDGET	Business	What the money runs out of
GROSS	Business	Everything the tickets took
PROFIT	Business	What survives the accountants
INDIE	Business	Made outside the big gates
PITCH	Business	Selling the idea in a room
GREEN	Business	The light that starts production
OPTION	Business	Buying the right to try
RIGHTS	Business	Who is allowed to make it
DEAL	Business	Signed before the shooting starts
PROP	On Set	Anything an actor picks up
SLATE	On Set	Clap it before the take
CLAP	On Set	The sound that syncs the picture
MARK	On Set	Stand exactly here
RIGGING	On Set	Holds the lights up
TRUSS	On Set	Metal frame above the stage
FLAG	On Set	Blocks light where you do not want it
GOBO	On Set	Casts a pattern of light
SCRIM	On Set	Softens a lamp
DIMMER	On Set	Turns the light down
SPOT	On Set	One bright pool of light
FILL	On Set	Softens the shadow on the other side
BOUNCE	On Set	Light thrown off a white surface
BACKLOT	On Set	A street that is only a facade
GREENS	On Set	The screen that becomes anything
MATTE	On Set	A painted world beyond the set
MODEL	On Set	A small thing filmed to look huge
CABLE	On Set	Underfoot, everywhere
WRAP	On Set	That is a day
RESET	On Set	Put everything back for another take
QUIET	On Set	What the floor wants before a take
SOUND	On Set	Rolling before the camera does
SPEED	On Set	The recorder is up to pace
MAKEUP	On Set	Faces, fixed before the take
COSTUME	On Set	What the character wears
MASK	On Set	Hides the face entirely
LATEX	On Set	Skin that is not skin
